lemma,pos,gender,possible_participle
señal,NOUN,f,
silla,NOUN,f,
sofá,NOUN,m,
suelo,NOUN,m,
sótano,NOUN,m,
techo,NOUN,m,
ventana,NOUN,f,
abrigo,NOUN,m,
anillo,NOUN,m,
bolsa,NOUN,f,
bolsillo,NOUN,m,
bolso,NOUN,m,
camisa,NOUN,f,
chaqueta,NOUN,f,
moda,NOUN,f,
pantalón,NOUN,m,
ropa,NOUN,f,
saco,NOUN,m,
sombrero,NOUN,m,
traje,NOUN,m,
zapato,NOUN,m,
agua,NOUN,f,
alcohol,NOUN,m,
almuerzo,NOUN,m,
azúcar,NOUN,m,
botella,NOUN,f,
café,NOUN,m,
carne,NOUN,f,
cena,NOUN,f,
cerveza,NOUN,f,
chocolate,NOUN,m,
comida,NOUN,f,
copa,NOUN,f,
desayuno,NOUN,m,
galleta,NOUN,f,
hambre,NOUN,f,
huevo,NOUN,m,
leche,NOUN,f,
mate,NOUN,m,
miel,NOUN,f,
pan,NOUN,m,
pasta,NOUN,f,
pastel,NOUN,m,
pescado,NOUN,m,
plato,NOUN,m,
pollo,NOUN,m,
queso,NOUN,m,
ron,NOUN,m,
sal,NOUN,f,
salsa,NOUN,f,
sopa,NOUN,f,
taza,NOUN,f,
trago,NOUN,m,
vaso,NOUN,m,
aire,NOUN,m,
ambiente,NOUN,m,
animal,NOUN,m,
arena,NOUN,f,
bosque,NOUN,m,
caballo,NOUN,m,
calor,NOUN,m,
cerdo,NOUN,m,
cielo,NOUN,m,
corriente,NOUN,f,
criatura,NOUN,f,
espacio,NOUN,m,
especie,NOUN,f,
estrella,NOUN,f,
flor,NOUN,f,
frío,NOUN,m,
fuego,NOUN,m,
gas,NOUN,m,
gato,NOUN,m,
hielo,NOUN,m,
hierba,NOUN,f,
humo,NOUN,m,
lago,NOUN,m,
llama,NOUN,f,
lluvia,NOUN,f,
lobo,NOUN,m,
luna,NOUN,f,
luz,NOUN,f,
mar,NOUN,m,
mono,NOUN,m,
naturaleza,NOUN,f,
nieve,NOUN,f,
océano,NOUN,m,
oscuridad,NOUN,f,
oso,NOUN,m,
perra,NOUN,f,
perro,NOUN,m,
pez,NOUN,m,
piedra,NOUN,f,
planeta,NOUN,m,
planta,NOUN,f,
pájaro,NOUN,m,
rayo,NOUN,m,
rosa,NOUN,f,
río,NOUN,m,
salvaje,NOUN,m,
sol,NOUN,m,
sombra,NOUN,f,
superficie,NOUN,f,
tenia,NOUN,f,
tierra,NOUN,f,
tormenta,NOUN,f,
universo,NOUN,m,
viento,NOUN,m,
zorra,NOUN,f,
árbol,NOUN,m,
bar,NOUN,m,
barrio,NOUN,m,
bordo,NOUN,m,
calle,NOUN,f,
camino,NOUN,m,
campamento,NOUN,m,
campo,NOUN,m,
carretera,NOUN,f,
castillo,NOUN,m,
centro,NOUN,m,
ciudad,NOUN,f,
costa,NOUN,f,
desierto,NOUN,m,
dirección,NOUN,f,
distrito,NOUN,m,
edificio,NOUN,m,
entrada,NOUN,f,
esquina,NOUN,f,
estación,NOUN,f,
extranjero,NOUN,m,
frontera,NOUN,f,
granja,NOUN,f,
hotel,NOUN,m,
india,NOUN,f,
isla,NOUN,f,
jardín,NOUN,m,
lugar,NOUN,m,
montaña,NOUN,f,
mundo,NOUN,m,
museo,NOUN,m,
norte,NOUN,m,
oeste,NOUN,m,
palacio,NOUN,m,
parque,NOUN,m,
país,NOUN,m,
playa,NOUN,f,
pueblo,NOUN,m,
puente,NOUN,m,
puerto,NOUN,m,
restaurante,NOUN,m,
ruta,NOUN,f,
salida,NOUN,f,
sitio,NOUN,m,
sur,NOUN,m,
súper,NOUN,m,
terreno,NOUN,m,
zona,NOUN,f,
área,NOUN,f,
aeropuerto,NOUN,m,
