lemma,pos,gender,possible_participle
probar,VERB,neutral,
soler,VERB,neutral,
tontear,VERB,neutral,
tratar,VERB,neutral,
alto/a,ADJ,neutral,
apuesto/a,ADJ,neutral,
bajo/a,ADJ,neutral,
bello/a,ADJ,neutral,
bonito/a,ADJ,neutral,
elegante,ADJ,neutral,
feo/a,ADJ,neutral,
fuerte,ADJ,neutral,
guapo/a,ADJ,neutral,
hermoso/a,ADJ,neutral,
izquierdo/a,ADJ,neutral,
lindo/a,ADJ,neutral,
precioso/a,ADJ,neutral,
trasero/a,ADJ,neutral,
adorable,ADJ,neutral,
agradable,ADJ,neutral,
amable,ADJ,neutral,
capaz,ADJ,neutral,
cruel,ADJ,neutral,
cuerdo/a,ADJ,neutral,
curioso/a,ADJ,neutral,
decidido/a,ADJ,neutral,
desagradable,ADJ,neutral,
dispuesto/a,ADJ,neutral,
estúpido/a,ADJ,neutral,
experto/a,ADJ,neutral,
firme,ADJ,neutral,
gracioso/a,ADJ,neutral,
honesto/a,ADJ,neutral,
imbécil,ADJ,neutral,
inteligente,ADJ,neutral,
interesado/a,ADJ,neutral,
listo/a,ADJ,neutral,
loco/a,ADJ,neutral,
mentiroso/a,ADJ,neutral,
paciente,ADJ,neutral,
poderoso/a,ADJ,neutral,
sabio/a,ADJ,neutral,
serio/a,ADJ,neutral,
tranquilo/a,ADJ,neutral,
valiente,ADJ,neutral,
aburrido/a,ADJ,neutral,
asustado/a,ADJ,neutral,
bravo/a,ADJ,neutral,
cansado/a,ADJ,neutral,
contento/a,ADJ,neutral,
despierto/a,ADJ,neutral,
dormido/a,ADJ,neutral,
enamorado/a,ADJ,neutral,
encantado/a,ADJ,neutral,
enfadado/a,ADJ,neutral,
enojado/a,ADJ,neutral,
feliz,ADJ,neutral,
molesto/a,ADJ,neutral,
nervioso/a,ADJ,neutral,
orgulloso/a,ADJ,neutral,
preocupado/a,ADJ,neutral,
querido/a,ADJ,neutral,
solo/a,ADJ,neutral,
triste,ADJ,neutral,
chico/a,ADJ,neutral,
corto/a,ADJ,neutral,
enorme,ADJ,neutral,
gran,ADJ,neutral,
grande,ADJ,neutral,
largo/a,ADJ,neutral,
menudo/a,ADJ,neutral,
pequeño/a,ADJ,neutral,
poquito/a,ADJ,neutral,
azul,ADJ,neutral,
blanco/a,ADJ,neutral,
negro/a,ADJ,neutral,
oscuro/a,ADJ,neutral,
rojo/a,ADJ,neutral,
verde,ADJ,neutral,
antiguo/a,ADJ,neutral,
nuevo/a,ADJ,neutral,
viejo/a,ADJ,neutral,
adecuado/a,ADJ,neutral,
asombroso/a,ADJ,neutral,
asqueroso/a,ADJ,neutral,
brillante,ADJ,neutral,
bueno/a,ADJ,neutral,
caro/a,ADJ,neutral,
cierto/a,ADJ,neutral,
claro/a,ADJ,neutral,
complicado/a,ADJ,neutral,
común,ADJ,neutral,
conocido/a,ADJ,neutral,
contrario/a,ADJ,neutral,
correcto/a,ADJ,neutral,
cómodo/a,ADJ,neutral,
debido/a,ADJ,neutral,
delicioso/a,ADJ,neutral,
diferente,ADJ,neutral,
difícil,ADJ,neutral,
directo/a,ADJ,neutral,
disponible,ADJ,neutral,
distinto/a,ADJ,neutral,
divertido/a,ADJ,neutral,
dulce,ADJ,neutral,
duro/a,ADJ,neutral,
efectivo/a,ADJ,neutral,
emocionante,ADJ,neutral,
equivocado/a,ADJ,neutral,
especial,ADJ,neutral,
estupendo/a,ADJ,neutral,
excelente,ADJ,neutral,
extraño/a,ADJ,neutral,
falso/a,ADJ,neutral,
famoso/a,ADJ,neutral,
fantástico/a,ADJ,neutral,
favorito/a,ADJ,neutral,
fresco/a,ADJ,neutral,
fácil,ADJ,neutral,
genial,ADJ,neutral,
grandioso/a,ADJ,neutral,
gratis,ADJ,neutral,
grave,ADJ,neutral,
horrible,ADJ,neutral,
igual,ADJ,neutral,
importante,ADJ,neutral,
imposible,ADJ,neutral,
impresionante,ADJ,neutral,
increíble,ADJ,neutral,
interesante,ADJ,neutral,
inútil,ADJ,neutral,
justo/a,ADJ,neutral,
lento/a,ADJ,neutral,
libre,ADJ,neutral,
maldito/a,ADJ,neutral,
malo/a,ADJ,neutral,
maravilloso/a,ADJ,neutral,
mejor,ADJ,neutral,
natural,ADJ,neutral,
necesario/a,ADJ,neutral,
normal,ADJ,neutral,
obvio/a,ADJ,neutral,
original,ADJ,neutral,
parecido/a,ADJ,neutral,
particular,ADJ,neutral,
peligroso/a,ADJ,neutral,
peor,ADJ,neutral,
perfecto/a,ADJ,neutral,
pobre,ADJ,neutral,
popular,ADJ,neutral,
posible,ADJ,neutral,
privado/a,ADJ,neutral,
probable,ADJ,neutral,
profundo/a,ADJ,neutral,
práctico/a,ADJ,neutral,
puro/a,ADJ,neutral,
raro/a,ADJ,neutral,
real,ADJ,neutral,
rico/a,ADJ,neutral,
ridículo/a,ADJ,neutral,
rápido/a,ADJ,neutral,
seguro/a,ADJ,neutral,
sencillo/a,ADJ,neutral,
simple,ADJ,neutral,
suave,ADJ,neutral,
supuesto/a,ADJ,neutral,
terrible,ADJ,neutral,
urgente,ADJ,neutral,
verdadero/a,ADJ,neutral,
útil,ADJ,neutral,
abierto/a,ADJ,neutral,
atrapado/a,ADJ,neutral,
borracho/a,ADJ,neutral,
caliente,ADJ,neutral,
cambiado/a,ADJ,neutral,
caído/a,ADJ,neutral,
cerrado/a,ADJ,neutral,
comido/a,ADJ,neutral,
comprado/a,ADJ,neutral,
conseguido/a,ADJ,neutral,
convertido/a,ADJ,neutral,
cubierto/a,ADJ,neutral,
cuidado/a,ADJ,neutral,
dejado/a,ADJ,neutral,
desaparecido/a,ADJ,neutral,
descubierto/a,ADJ,neutral,
elegido/a,ADJ,neutral,
empezado/a,ADJ,neutral,
encontrado/a,ADJ,neutral,
entendido/a,ADJ,neutral,
escrito/a,ADJ,neutral,
escuchado/a,ADJ,neutral,
frío/a,ADJ,neutral,
gustado/a,ADJ,neutral,
hablado/a,ADJ,neutral,
helado/a,ADJ,neutral,
ido/a,ADJ,neutral,
invitado/a,ADJ,neutral,
jodido/a,ADJ,neutral,
leído/a,ADJ,neutral,
limpio/a,ADJ,neutral,
metido/a,ADJ,neutral,
nacido/a,ADJ,neutral,
ocupado/a,ADJ,neutral,
ocurrido/a,ADJ,neutral,
olvidado/a,ADJ,neutral,
oído/a,ADJ,neutral,
pagado/a,ADJ,neutral,
parado/a,ADJ,neutral,
pedido/a,ADJ,neutral,
pensado/a,ADJ,neutral,
perdido/a,ADJ,neutral,
preguntado/a,ADJ,neutral,
preparado/a,ADJ,neutral,
prometido/a,ADJ,neutral,
puesto/a,ADJ,neutral,
quedado/a,ADJ,neutral,
quieto/a,ADJ,neutral,
recibido/a,ADJ,neutral,
roto/a,ADJ,neutral,
sabido/a,ADJ,neutral,
sacado/a,ADJ,neutral,
salido/a,ADJ,neutral,
seguido/a,ADJ,neutral,
sentado/a,ADJ,neutral,
sucedido/a,ADJ,neutral,
sucio/a,ADJ,neutral,
suelto/a,ADJ,neutral,
tomado/a,ADJ,neutral,
trabajado/a,ADJ,neutral,
unido/a,ADJ,neutral,
usado/a,ADJ,neutral,
vestido/a,ADJ,neutral,
vivido/a,ADJ,neutral,
americano/a,ADJ,neutral,
chino/a,ADJ,neutral,
francés/a,ADJ,neutral,
anterior,ADJ,neutral,
completo/a,ADJ,neutral,
contado/a,ADJ,neutral,
cuarto/a,ADJ,neutral,
doble,ADJ,neutral,
entero/a,ADJ,neutral,
final,ADJ,neutral,
general,ADJ,neutral,
lleno/a,ADJ,neutral,
mayor,ADJ,neutral,
menor,ADJ,neutral,
máximo/a,ADJ,neutral,
primero/a,ADJ,neutral,
principal,ADJ,neutral,
secundario/a,ADJ,neutral,
segundo/a,ADJ,neutral,
siguiente,ADJ,neutral,
suficiente,ADJ,neutral,
superior,ADJ,neutral,
tercer,ADJ,neutral,
tercero/a,ADJ,neutral,
total,ADJ,neutral,
vacío/a,ADJ,neutral,
último/a,ADJ,neutral,
único/a,ADJ,neutral,
mío/a,ADJ,neutral,
propio/a,ADJ,neutral,
tuyo/a,ADJ,neutral,
vuestro/a,ADJ,neutral,
acusado/a,ADJ,neutral,
arrestado/a,ADJ,neutral,
asesinado/a,ADJ,neutral,
criminal,ADJ,neutral,
culpable,ADJ,neutral,
detenido/a,ADJ,neutral,
ilegal,ADJ,neutral,
inocente,ADJ,neutral,
jurado/a,ADJ,neutral,
legal,ADJ,neutral,
robado/a,ADJ,neutral,
sospechoso/a,ADJ,neutral,
absoluto/a,ADJ,neutral,
aprendido/a,ADJ,neutral,
bebido/a,ADJ,neutral,
bienvenido/a,ADJ,neutral,
casado/a,ADJ,neutral,
celular,ADJ,neutral,
central,ADJ,neutral,
ciego/a,ADJ,neutral,
civil,ADJ,neutral,
clínico/a,ADJ,neutral,
comercial,ADJ,neutral,
dado/a,ADJ,neutral,
derecho/a,ADJ,neutral,
desgraciado/a,ADJ,neutral,
diario/a,ADJ,neutral,
débil,ADJ,neutral,
embarazado/a,ADJ,neutral,
ex,ADJ,neutral,
exterior,ADJ,neutral,
extra,ADJ,neutral,
familiar,ADJ,neutral,
federal,ADJ,neutral,
fiscal,ADJ,neutral,
físico/a,ADJ,neutral,
ganador/a,ADJ,neutral,
herido/a,ADJ,neutral,
humano/a,ADJ,neutral,
inmediato/a,ADJ,neutral,
interior,ADJ,neutral,
junto/a,ADJ,neutral,
local,ADJ,neutral,
límite,ADJ,neutral,
matado/a,ADJ,neutral,
mental,ADJ,neutral,
militar,ADJ,neutral,
muerto/a,ADJ,neutral,
mundial,ADJ,neutral,
médico/a,ADJ,neutral,
nacional,ADJ,neutral,
oficial,ADJ,neutral,
periódico/a,ADJ,neutral,
personal,ADJ,neutral,
político/a,ADJ,neutral,
presente,ADJ,neutral,
profesional,ADJ,neutral,
próximo/a,ADJ,neutral,
puto/a,ADJ,neutral,
público/a,ADJ,neutral,
sexual,ADJ,neutral,
social,ADJ,neutral,
temprano/a,ADJ,neutral,
uniforme,ADJ,neutral,
vivo/a,ADJ,neutral,
uno,NUM,m,
dos,NUM,m,
tres,NUM,m,
cuatro,NUM,m,
cinco,NUM,m,
seis,NUM,m,
siete,NUM,m,
ocho,NUM,m,
nueve,NUM,m,
diez,NUM,m,
once,NUM,m,
doce,NUM,m,
trece,NUM,m,
catorce,NUM,m,
quince,NUM,m,
veinte,NUM,m,
treinta,NUM,m,
cuarenta,NUM,m,
cincuenta,NUM,m,
sesenta,NUM,m,
setenta,NUM,m,
ochenta,NUM,m,
noventa,NUM,m,
cien,NUM,m,
mil,NUM,m,
conmigo,PRON,neutral,
esto,PRON,neutral,
nosotros/as,PRON,neutral,
vosotros/as,PRON,neutral,
acá,ADV,,
adentro,ADV,,
ahí,ADV,,
aquí,ADV,,
despacio,ADV,,
fuera,ADV,,
obviamente,ADV,,
siquiera,ADV,,
